iter	Passed	Remaining
189	247	1054
190	247	1050
191	248	1046
192	249	1042
193	250	1038
194	250	1034
195	251	1031
196	251	1027
197	252	1022
198	253	1018
199	253	1015
200	254	1011
201	254	1007
202	255	1003
203	256	999
204	256	995
205	257	992
206	258	988
207	258	985
208	259	982
209	260	978
210	260	975
211	261	971
212	262	968
213	262	964
214	263	961
215	263	957
216	264	954
217	265	951
218	265	947
219	266	944
220	266	940
221	267	937
222	268	934
223	268	930
224	269	927
225	269	924
226	270	921
227	271	917
228	271	914
229	272	911
230	273	908
231	273	905
232	274	902
233	274	899
234	275	896
235	275	893
236	276	890
237	277	887
238	277	884
239	278	881
240	279	878
241	279	876
242	280	873
243	281	871
244	282	871
245	283	868
246	284	866
247	284	863
248	285	860
249	286	858
250	286	855
251	287	852
252	287	850
253	288	847
254	289	845
255	290	843
256	290	840
257	291	837
258	291	835
259	292	832
260	293	830
261	294	828
262	294	825
263	295	823
264	296	821
265	296	818
266	297	816
267	298	813
268	298	811
269	299	809
270	299	806
271	300	804
272	301	801
273	301	799
274	302	797
275	303	794
276	303	792
277	304	790
278	304	788
279	305	786
280	306	783
281	306	781
282	307	779
283	308	776
284	308	774
285	309	772
286	310	771
287	310	768
288	311	766
289	312	764
290	312	761
291	313	759
292	313	757
293	314	755
294	315	753
295	315	750
296	316	748
297	316	746
298	317	744
299	318	742
300	318	740
301	319	738
302	320	736
303	320	734
304	321	732
305	322	730
306	322	728
307	323	726
308	323	724
309	324	722
310	325	720
311	325	718
312	326	716
313	327	714
314	327	712
315	328	710
316	328	708
317	329	706
318	330	704
319	330	702
320	331	700
321	331	698
322	332	696
323	333	695
324	333	693
325	334	691
326	335	689
327	335	687
328	336	685
329	336	683
330	337	681
331	337	680
332	338	678
333	339	676
334	340	675
335	340	673
336	341	672
337	342	670
338	342	668
339	343	667
340	344	665
341	344	663
342	345	661
343	345	659
344	346	657
345	347	656
346	347	654
347	348	652
348	348	650
349	349	649
350	350	647
351	350	645
352	351	644
353	352	642
354	352	640
355	353	639
356	353	637
357	354	636
358	355	634
359	356	633
360	357	632
361	358	631
362	358	629
363	359	627
364	359	626
365	360	624
366	361	622
367	361	621
368	362	619
369	363	618
370	363	616
371	364	615
372	365	613
373	365	612
374	366	611
375	367	609
376	368	608
377	368	606
378	369	605
379	370	604
380	371	603
381	372	602
382	373	601
383	374	600
384	374	598
385	375	597
386	376	595
387	376	594
388	377	593
389	378	591
390	379	590
391	380	589
392	381	588
393	381	587
394	382	585
395	383	584
396	383	582
397	384	581
398	384	579
399	385	578
400	386	577
401	386	575
402	387	573
403	388	572
404	389	571
405	389	570
406	390	568
407	390	567
408	391	565
409	392	564
410	393	563
411	393	561
412	394	560
413	394	559
414	395	557
415	396	556
416	397	555
417	397	553
418	398	552
419	399	551
420	399	549
421	400	548
422	401	547
423	401	545
424	402	545
425	403	543
426	404	542
427	405	541
428	405	540
429	406	538
430	407	537
431	407	535
432	408	534
433	408	533
434	409	531
435	410	530
436	410	529
437	411	527
438	412	526
439	412	525
440	413	524
441	414	522
442	414	521
443	415	520
444	416	518
445	416	517
446	417	516
447	417	514
448	418	513
449	419	512
450	419	511
451	420	509
452	421	508
453	421	507
454	422	505
455	423	504
456	423	503
457	424	502
458	425	500
459	425	499
460	426	498
461	426	497
462	427	495
463	428	494
464	428	493
465	429	491
466	429	490
467	430	489
468	431	488
469	431	486
470	432	485
471	433	484
472	434	483
473	434	482
474	435	481
475	435	479
476	436	478
477	437	477
478	437	476
479	438	475
480	439	473
481	439	472
482	440	471
483	441	470
484	441	469
485	442	467
486	442	466
487	443	465
488	444	464
489	445	463
490	446	462
491	446	461
492	447	460
493	447	458
494	448	457
495	449	456
496	449	455
